Feed Name,Provider,Location,feed_url,expired,download_url
municipals,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/municipals,False,https://s3.gtfs.pro/files/uran/improved-gtfs-municipals.zip
municipals-degara,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/municipals-degara,False,https://s3.gtfs.pro/files/uran/improved-gtfs-municipals-degara.zip
ouigo,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/ouigo,False,https://s3.gtfs.pro/files/uran/improved-gtfs-ouigo.zip
pujol,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/pujol,False,https://s3.gtfs.pro/files/uran/improved-gtfs-pujol.zip
renfe-2,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/renfe-2,False,https://s3.gtfs.pro/files/uran/improved-gtfs-renfe-2.zip
reus-transport,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/reus-transport,False,https://s3.gtfs.pro/files/uran/improved-gtfs-reus-transport.zip
salamanca-de-transportes-eps,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/salamanca-de-transportes-eps,False,https://s3.gtfs.pro/files/uran/improved-gtfs-salamanca-de-transportes-eps.zip
samar,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/samar,False,https://s3.gtfs.pro/files/uran/improved-gtfs-samar.zip
tbh-buruntzaldea,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/tbh-buruntzaldea,False,https://s3.gtfs.pro/files/uran/improved-gtfs-tbh-buruntzaldea.zip
tcc-barcelona,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/tcc-barcelona,False,https://s3.gtfs.pro/files/uran/improved-gtfs-tcc-barcelona.zip
titsa-esp,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/titsa-esp,False,https://s3.gtfs.pro/files/uran/improved-gtfs-titsa-esp.zip
tmb-transports-metropolitans-de-barcelona,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/tmb-transports-metropolitans-de-barcelona,False,https://s3.gtfs.pro/files/uran/improved-gtfs-tmb-transports-metropolitans-de-barcelona.zip
transporte-metropolitano-andalucía,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/transporte-metropolitano-andaluc%C3%ADa,False,https://s3.gtfs.pro/files/uran/improved-gtfs-transporte-metropolitano-andalucía.zip
transporte-urbano-de-zaragoza,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/transporte-urbano-de-zaragoza,False,https://s3.gtfs.pro/files/uran/improved-gtfs-transporte-urbano-de-zaragoza.zip
transportes-de-murcia,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/transportes-de-murcia,False,https://s3.gtfs.pro/files/uran/improved-gtfs-transportes-de-murcia.zip
transportes-urbanos-de-santander,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/transportes-urbanos-de-santander,False,https://s3.gtfs.pro/files/uran/improved-gtfs-transportes-urbanos-de-santander.zip
tranvia-de-murcia,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/tranvia-de-murcia,False,https://s3.gtfs.pro/files/uran/improved-gtfs-tranvia-de-murcia.zip
tranvias-coruna,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/tranvias-coruna,False,https://s3.gtfs.pro/files/uran/improved-gtfs-tranvias-coruna.zip
tranvias-urbanos-de-zaragoza,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/tranvias-urbanos-de-zaragoza,False,https://s3.gtfs.pro/files/uran/improved-gtfs-tranvias-urbanos-de-zaragoza.zip
tussam,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/tussam,False,https://s3.gtfs.pro/files/uran/improved-gtfs-tussam.zip
unauto,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/unauto,False,https://s3.gtfs.pro/files/uran/improved-gtfs-unauto.zip
vectalia-movilidad,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/vectalia-movilidad,False,https://s3.gtfs.pro/files/uran/improved-gtfs-vectalia-movilidad.zip
vectalia-movilidad-2,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/vectalia-movilidad-2,False,https://s3.gtfs.pro/files/uran/improved-gtfs-vectalia-movilidad-2.zip
vectalia-movilidad-esp,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/vectalia-movilidad-esp,False,https://s3.gtfs.pro/files/uran/improved-gtfs-vectalia-movilidad-esp.zip
renfe,Renfe-Operadora,"Barcelona, Catalonia, Spain",https://gtfs.pro/en/spain/Renfe-Operadora/renfe,False,https://s3.gtfs.pro/files/uran/improved-gtfs-renfe.zip
tbs-barcelona,TRAM,"Barcelona, Catalonia, Spain",https://gtfs.pro/en/spain/TRAM/tbs-barcelona,False,https://s3.gtfs.pro/files/uran/improved-gtfs-tbs-barcelona.zip
tbx-barcelona,TRAM,"Barcelona, Catalonia, Spain",https://gtfs.pro/en/spain/TRAM/tbx-barcelona,False,https://s3.gtfs.pro/files/uran/improved-gtfs-tbx-barcelona.zip
tram-alicante,TRAM-Alicante,"Alicante, Spain",https://gtfs.pro/en/spain/TRAM-Alicante/tram-alicante,False,https://s3.gtfs.pro/files/uran/improved-gtfs-tram-alicante.zip
a-coruna-es,Transpot-Spain,Spain,https://gtfs.pro/en/spain/Transpot-Spain/a-coruna-es,False,https://s3.gtfs.pro/files/uran/improved-gtfs-a-coruna-es.zip
tuvisa,Tuvisa,Spain,https://gtfs.pro/en/spain/Tuvisa/tuvisa,False,https://s3.gtfs.pro/files/uran/improved-gtfs-tuvisa.zip
emt-andalusia,Ayuntamiento-de-Malaga,"Malaga, Spain",https://gtfs.pro/en/spain/Ayuntamiento-de-Malaga/emt-andalusia,True,https://s3.gtfs.pro/files/uran/improved-gtfs-emt-andalusia.zip
crtm-urban,Consorcio-de-Transportes-de-Madrid,Spain,https://gtfs.pro/en/spain/Consorcio-de-Transportes-de-Madrid/crtm-urban,True,https://s3.gtfs.pro/files/uran/improved-gtfs-crtm-urban.zip
empresa-municipal-de-transportes,Empresa-Municipal-de-Transportes-de-Madrid,"Madrid, Spain",https://gtfs.pro/en/spain/Empresa-Municipal-de-Transportes-de-Madrid/empresa-municipal-de-transportes,True,https://s3.gtfs.pro/files/uran/improved-gtfs-empresa-municipal-de-transportes.zip
lurraldebus-areizaga,Eusko-Jaurlaritzaren,"Bilbao, Spain",https://gtfs.pro/en/spain/Eusko-Jaurlaritzaren/lurraldebus-areizaga,True,https://s3.gtfs.pro/files/uran/improved-gtfs-lurraldebus-areizaga.zip
lurraldebus-garayar,Eusko-Jaurlaritzaren,"Bilbao, Spain",https://gtfs.pro/en/spain/Eusko-Jaurlaritzaren/lurraldebus-garayar,True,https://s3.gtfs.pro/files/uran/improved-gtfs-lurraldebus-garayar.zip
esp-valenciana,Generalitat-Valenciana,Spain,https://gtfs.pro/en/spain/Generalitat-Valenciana/esp-valenciana,True,https://s3.gtfs.pro/files/uran/improved-gtfs-esp-valenciana.zip
empresa-malaguena,Jose-Florido,"Malaga, Andalusia, Spain",https://gtfs.pro/en/spain/Jose-Florido/empresa-malaguena,True,https://s3.gtfs.pro/files/uran/improved-gtfs-empresa-malaguena.zip
aisa-2,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/aisa-2,True,https://s3.gtfs.pro/files/uran/improved-gtfs-aisa-2.zip
autocares-baraza,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/autocares-baraza,True,https://s3.gtfs.pro/files/uran/improved-gtfs-autocares-baraza.zip
avanza-grupo-2,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/avanza-grupo-2,True,https://s3.gtfs.pro/files/uran/improved-gtfs-avanza-grupo-2.zip
dos-hermanas,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/dos-hermanas,True,https://s3.gtfs.pro/files/uran/improved-gtfs-dos-hermanas.zip
interbus,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/interbus,True,https://s3.gtfs.pro/files/uran/improved-gtfs-interbus.zip
interbus-esp,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/interbus-esp,True,https://s3.gtfs.pro/files/uran/improved-gtfs-interbus-esp.zip
junta-extremadura,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/junta-extremadura,True,https://s3.gtfs.pro/files/uran/improved-gtfs-junta-extremadura.zip
metro-de-madrid-esp,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/metro-de-madrid-esp,True,https://s3.gtfs.pro/files/uran/improved-gtfs-metro-de-madrid-esp.zip
xunta-galicia,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/xunta-galicia,True,https://s3.gtfs.pro/files/uran/improved-gtfs-xunta-galicia.zip
transportesinsularlapalma,Opendatalapalma,Spain,https://gtfs.pro/en/spain/Opendatalapalma/transportesinsularlapalma,True,https://s3.gtfs.pro/files/uran/improved-gtfs-transportesinsularlapalma.zip
feve,Renfe-Operadora,"Gijon, Asturias, Spain",https://gtfs.pro/en/spain/Renfe-Operadora/feve,True,https://s3.gtfs.pro/files/uran/improved-gtfs-feve.zip
